Price;Rooms;SquareMeters;Etage;Baujahr;Raumhöhe;Anzahl Wohnungen;Letztes Renovationsjahr;Anzahl Toiletten;Latitude;Longitude;DistanceToStationKM;Weather;Gasanschluss;Waschmaschine;Kabel-TV;Haustiere erlaubt;Gedeckt;Mit Gartenhaus;Parkplatz;Minergie Bauweise;Tumbler;Keller;Estrich;Rollstuhlgängig;Balkon / Terrasse;Spielplatz;Altbau;Stromanschluss;Neubau;Cheminée;Minergie zertifiziert;Rauchen erlaubt;Lift;Steamer;Garage;Ruhige Lage;Hochparterre;Aussicht;Reduit;No features found;Abwasseranschluss;Swimmingpool;Eckhaus;Kinderfreundlich;Wasseranschluss;Geschirrspüler;In Wohngemeinschaft;Objekttyp_Attikawohnung;Objekttyp_Bauernhaus;Objekttyp_Dachwohnung;Objekttyp_Doppeleinfamilienhaus;Objekttyp_Einfamilienhaus;Objekttyp_Einzelzimmer;Objekttyp_Hobbyraum;Objekttyp_Kellerabteil;Objekttyp_Loft;Objekttyp_Maisonette / Duplex;Objekttyp_Mehrfamilienhaus;Objekttyp_Reihenfamilienhaus;Objekttyp_Schloss;Objekttyp_Studio;Objekttyp_Terrassenhaus;Objekttyp_Terrassenwohnung;Objekttyp_Villa;Objekttyp_Wohnung
0.02462232685893663;0.07894736842105263;0.16153846153846155;0.08910891089108912;0.9985029940119761;0.0009720062208398133;0.0;0.9985029940119761;0.0;0.5049052483818173;0.38650380090434133;0.06359769826012666;0.5890498305291292;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.01825583676672552;0.02631578947368421;0.041025641025641026;0.0594059405940594;0.9940119760479043;0.0009720062208398133;0.0;0.9940119760479043;0.0;0.38210247212040827;0.2050519328002931;0.6868081625541641;0.5890498305291292;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.027172846772611337;0.13157894736842105;0.24102564102564103;0.019801980198019802;0.9985029940119761;0.0009331259720062208;0.0;0.9985029940119761;0.0;0.4025423067924834;0.05535748190966494;0.09815280563962381;0.3365018300688405;False;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.028350009809691976;0.13157894736842105;0.20512820512820515;0.0297029702970297;0.9970059880239521;0.0009720062208398133;0.6428571428571428;0.9970059880239521;0.0;0.4656632613273075;0.49607427410110994;0.22711791866547948;0.5005197126514886;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.028350009809691976;0.13157894736842105;0.21025641025641026;0.0297029702970297;0.9985029940119761;0.0009331259720062208;0.0;0.9985029940119761;0.0;0.4983857131716434;0.379413584804821;0.11218561477113063;0.5890498305291292;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.03766921718658034;0.18421052631578946;0.3846153846153846;0.019801980198019802;0.8008982035928143;0.0010886469673405908;0.0;0.9820359281437128;0.0;0.005427747017080264;0.621301941590545;0.051493317997860694;0.5023359899564337;False;False;True;False;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False
0.020306062389640965;0.07894736842105263;0.1435897435897436;0.0297029702970297;0.9985029940119761;0.0009331259720062208;0.0;0.9985029940119761;0.0;0.4034469312953348;0.055582512323931965;0.09031196272569769;0.5890498305291292;False;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.02388659996076123;0.07894736842105263;0.17435897435897438;0.04950495049504951;0.9970059880239521;0.0009525660964230172;0.0;0.9970059880239521;0.0;0.2325118926928269;0.7720195776460415;0.016569705682015153;0.0;False;True;True;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
0.04684127918383362;0.13157894736842105;0.4358974358974359;0.1386138613861386;0.976047904191617;0.0009720062208398133;0.0;0.976047904191617;0.0;0.3803244170630933;0.2191145756418642;0.5966108254948842;0.5890498305291292;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
0.02805571905042182;0.07894736842105263;0.14871794871794872;0.10891089108910891;0.9985029940119761;0.0009720062208398133;0.0;0.9985029940119761;0.0;0.5049052483818173;0.38650380090434133;0.06359769826012666;0.5890498305291292;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
